Layer,Ribbon,Which,L X min,L X max,L Y min,L Y max,,R X min,R x max,R y min,R y max,,time start,time end,,,,,,,,,,
2,5,both,32885,33500,34750,39000,,-35,550,100,5000,,20171019,20171021,20171011,20171013,,,,,,,,
2,10,both,33250,33750,32600,34000,,-15,400,0,1000,,20170907,20170909,20170828,20170830,20180911,20180913,20171214,20171216,,,20171224,20171226
2,12,both,33420,33650,32670,33650,,0,210,100,1000,,20180911,20180913,20171207,20171209,,,,,,,,
2,14,right,33690,34100,32300,34250,,0,280,60,1760,,20171130,20171203,20180911,20180913,20171214,20171216,,,,,,
2,18,both,33490,33700,32400,33500,,0,200,190,1200,,20171130,20171203,20180911,20180913,20171214,20171216,,,,,,
2,34,both,32840,33450,32500,33250,,0,500,222,3125,,20180510,20180512,20170907,20170909,20171214,20171216,20170828,20170830,,,,
2,40,both,33058,33250,32550,33000,,0,270,0,500,,20171207,20171209,20180911,20180913,,,,,,,,
2,44,right,32925,33250,32583,34600,,0,270,0,875,,20181016,20181019,20180911,20180913,20171214,20171216,,,,,,
2,48,both,33350,33600,32500,33300,,0,225,90,1000,,20170907,20170909,20170828,20170830,20171130,20171203,20180911,20180913,,,,
3,9,both,32125,32450,32625,33500,,-10,270,0,1000,,20170907,20170909,20181016,20181019,20180510,20180512,20170828,20170830,,,,
3,28,both,33217,33420,32950,34600,,12,200,125,1750,,,,,,,,,,,,,