Layer,Ribbon,L x min,L x max,L y min,L y max,L B x factor,L B slope,L B x-point,L B y-point,L T x factor,L T slope,L T x-point,L T y-point,R X min,R x max,R y min,R y max,R B x factor,R B slope,R B X,R B Y,R T x factor,R T slope,R T x-point,R T y-point
2,4,33370,33750,33000,36000,,6,33500,33250,,8.5,33450,34000,50,,200,4000,,7,140,500,,9,50,900
2,34,32850,33300,32550,35500,,5,,,0.7,,,,25,,250,,,7,,,,,300,2750
2,38,32625,32850,32650,33750,,4,32800,33000,,6,32700,33200,40,320,140,1200,,4,200,600,,6,100,700
2,27,32380,32490,33600,34100,,,,,,,,,7,45,50,500,0.142857143,,,,,,10,300
2,2,33420,,32900,,,7,33500,33250,,9,33450,33950,15,,200,,,6.1,110,500,,10,50,1000
2,5,32990,,35000,,,,,39000,,9,33000,37500,40,550,450,4000,,7,200,1000,,10,200,2000
2,7,,,,,0.041666667,,,,,,32800,36000,,,400,,0.0625,,,,,10.8,100,2000
2,10,33350,,32950,,,6,33425,33000,,6,33500,35000,0,1000,550,5500,,6.5,145,550,,,250,2500
2,13,32750,,,,0.037037037,5,,,,9,32800,35100,40,750,150,7000,,7,107,470,,9,107,1150
2,14,33650,34050,32375,,0.071428571,5.7,,,,5.7,33800,33250,25,,200,,,,,,,,50,490
2,15,33020,,33650,34100,,,,,,12,33060,34400,0,400,150,700,,,,,,,,
2,19,31920,,,,,,,,,8,32200,37000,50,400,400,2500,,6,,,,8,200,2000
2,20,32850,33410,33125,37000,,4.4,33000,33500,,,,,25,590,125,2900,,6,200,1000,,6.5,100,1000
2,24,33350,33420,32570,33100,,7.5,33400,32800,,,33350,32740,25,175,100,1600,,6,60,270,,,,
2,25,32175,32500,33300,37800,,,32250,34000,,,32200,34300,25,400,150,4400,0.033333333,,,,,,100,1500
2,26,,,32700,,0.034482759,4,,,0.5,7,,,,,250,,0.033333333,4,,,0.5,7,,
2,28,33575,,32180,,,7.5,33700,32750,,,33600,32625,15,,100,,,7.5,100,500,,,100,1125
2,29,32750,,34000,,,,32800,34400,,,32800,25500,50,,,,,,190,1000,,,600,5800
2,30,,,,,,7,33600,33500,,,33800,37000,,,,,,7,190,800,,,400,4000
2,31,32450,33200,34600,41000,,,33000,37500,,9,33000,41000,50,750,333,7500,,7,500,2500,,9,500,6500
2,32,32845,33500,32650,35300,,,,,,6.5,32900,33100,25,600,100,4000,,,,,,6.5,100,600
2,33,32750,,34000,38500,,5,32840,34500,,,32800,35000,25,,300,5000,,5,200,1100,,,200,2000
2,35,,,,39000,,12,,,,16,33000,37500,,,,5800,,12,,,,14,100,1500
2,36,33300,,,,,7,33330,32920,,9,33320,33400,25,260,140,2200,,,200,1000,,14,200,2500
2,37,,32600,34500,39000,,,32460,35000,,,,,40,300,400,4100,0.071428571,,,,,,,
2,39,32900,33250,34100,38000,,,33050,35000,,12,33000,36000,40,400,350,4000,,8,200,1500,,8,200,2800
2,40,33125,33250,32760,34000,,,,,,,,,15,200,300,1500,,9,200,1200,,10,200,2000
2,41,32630,33800,34500,45000,,6.4,33000,36250,,,,,30,800,400,7500,,5.4,400,1900,,,,
2,42,,33900,,40000,,,33700,35000,,,,,,600,,7500,,,150,1250,,,,
2,43,,,,,,,32545,35000,,14,32500,37500,,,,,,,120,0,,14,500,7500
2,44,33010,33260,32550,34500,,6,33100,32900,,9,33100,34000,15,290,500,2100,,7,200,1000,,9,200,2050
2,46,33160,33300,33060,34100,,4.7,33250,33200,0.7,,,,15,200,100,1150,,8,100,500,,,,
2,48,33400,33600,32600,33180,,5.5,33550,33000,,7,33400,32750,25,125,120,500,,5.5,80,250,0.7,5.5,,
2,50,32950,33150,32450,34000,,,33000,32470,,,33000,33000,10,300,170,1600,,4.7,118,500,,5.5,50,500
3,2,33070,33250,32600,35000,,6,33140,32800,0.4,,,,1,250,150,2500,,,,,,6,100,200
3,5,32905,33300,33255,35550,,6.4,32950,33500,,,,,25,400,120,3000,,6.4,100,370,,,,
3,7,33110,33300,32750,34000,,6,33200,33000,,6,33200,33600,15,220,170,1500,,6,,,,,100,1000
3,9,32170,32490,32625,34400,,6.5,32250,32850,,,,,50,270,390,1800,,6,100,500,,,,
3,10,33360,33650,,,,,33600,35000,,,,,50,330,500,3700,,,,,,,,
3,11,32875,33100,32600,34000,,6,33000,33000,,6,32900,33000,18,205,200,1500,,6,200,950,,8,100,1000
3,18,33170,33400,32500,,,7.4,32800,33000,,,,,25,300,100,2800,,8,100,500,,,,
3,25,33260,,32750,,,,33280,32750,,12,33275,33500,20,,,,0.071428571,,,,,17,40,1500
5,2,33850,,,,,5,34000,33300,,,,,25,,,,,5.7,200,1000,,5,200,1000
5,12,33375,33600,32200,34550,,9,33500,33000,,,,,25,250,170,1500,0.05,7,,,,8,40,1200
5,28,33625,34000,32900,35000,,5,33750,33000,,,,,30,400,100,2500,,5,100,0,,,,
5,30,33820,34600,32550,37300,,3,33900,32900,,,,,10,1000,250,5000,,6.5,200,800,,,,
5,38,33020,33400,32710,35200,,7,33100,32800,,,,,20,,50,,,6,60,200,,,,
7,9,33538,,,,0.214285714,,,,,,33550,34000,15,,50,,,,80,400,,,40,500
7,1,32815,33400,33000,36800,,7,32900,33250,,8,32900,33750,8,,110,,,6.4,60,200,,9,30,400
8,15,32915,33250,34000,37500,,7,33050,34500,,,,,50,400,500,4500,0.071428571,7,,,,,,
9,2,32690,,33750,37000,0.047619048,,,,,10,32725,34500,25,,400,2500,,,,,,10,20,600
13,16,33290,,,,,,,,,,,,45,,,,,,,,,,,
13,24,33045,,33600,,0.071428571,,,,,10,33100,34500,40,,,,,,,,,9.5,50,1000
15,46,32550,,32400,,0.041666667,,,,,9,32575,33250,25,,250,,,,,,,9,50,1000
18,29,32860,33000,32380,34000,,,,,,,,,,200,,2000,,,,,,,,
18,35,,32950,,36100,,,,,,,,,45,300,,3000,0.05,7,,,,,,
19,29,32350,,,,,,,,,,,,30,,350,,,,,,,,,
19,29,32300,,33000,,0.125,,,,,,,,50,,330,,,9,90,100,,,,